Unix_Timestamp,Battery,Temperature,PAR,Acceleration_X,Acceleration_Y,Acceleration_Z
1717519140,3.52,21.47,0.6,1004,62,376
1717519740,3.52,21.521,0.2,1136,88,178
1717520340,3.52,21.605,0.1,1004,57,376
1717520940,3.52,21.688,-0.1,1100,99,262
1717521540,3.52,21.655,0.1,1112,108,211
1717522140,3.52,21.697,0.1,1092,99,272
1717522740,3.52,21.722,0.1,1105,103,240
1717523340,3.52,21.713,0,1100,100,248
1717523940,3.52,21.789,0,1091,96,270
1717524540,3.52,21.781,0,1103,102,252
1717525140,3.52,21.822,-0.1,1095,102,265
1717525740,3.52,21.848,0,1059,80,344
1717526340,3.52,21.881,-0.1,1062,81,339
1717526940,3.52,21.889,0,1048,76,364
1717527540,3.52,21.94,0,1072,88,321
1717528140,3.52,21.956,0,1011,64,380
1717528740,3.52,21.982,-0.1,1008,64,380
1717529340,3.52,21.998,0.1,1107,104,232
1717529940,3.52,22.015,0.1,1016,64,380
1717530540,3.52,22.023,-0.1,1095,104,256
1717531140,3.52,22.032,0.1,1008,64,380
1717531740,3.52,22.049,0.1,1072,88,326
1717532340,3.52,22.057,-0.1,1004,60,384
1717532940,3.52,21.722,0,1100,104,252
1717533540,3.52,21.403,0.1,1004,64,387
1717534140,3.52,21.303,0,1009,64,390
1717534740,3.52,21.211,0,1056,80,359
1717535340,3.52,21.169,-0.1,1081,96,310
1717535940,3.52,21.127,0,1063,83,352
1717536540,3.52,21.177,0,1057,80,355
1717537140,3.52,21.336,-0.1,1064,86,344
1717537740,3.52,21.395,0.2,1008,60,384
1717538340,3.52,21.42,0,1063,80,344
1717538940,3.52,21.445,0.1,1009,64,384
1717539540,3.52,21.445,0.1,1008,60,384
1717540140,3.52,21.42,-0.1,1000,60,382
1717540740,3.52,21.395,-0.1,1008,62,384
1717541340,3.52,21.387,0,1000,60,382
1717541940,3.52,21.37,0.1,1065,80,342
1717542540,3.52,21.32,0,1008,64,384
1717543140,3.52,21.286,0,1100,99,264
1717543740,3.52,21.261,0,1096,96,272
1717544340,3.52,21.294,-0.1,1016,64,387
1717544940,3.52,21.328,0,1001,63,380
1717545540,3.52,21.362,0,1009,62,384
1717546140,3.52,21.378,0,1004,60,384
1717546740,3.52,21.387,0,1008,62,384
1717547340,3.52,21.429,-0.2,1038,70,376
1717547940,3.52,21.42,0,1001,60,380
1717548540,3.52,21.445,0,999,60,380
1717549140,3.52,21.462,0.1,1144,68,199
1717549740,3.52,21.479,0,1134,88,184
1717550340,3.52,21.504,0,1127,100,192
1717550940,3.52,21.521,0,1008,60,384
1717551540,3.52,21.504,-0.1,1004,62,380
1717552140,3.52,21.496,0.1,1139,80,184
1717552740,3.52,21.403,0,1006,60,384
1717553340,3.52,21.328,0,1004,62,384
1717553940,3.52,21.294,-0.1,1004,60,384
1717554540,3.52,21.286,0.1,1139,80,195
1717555140,3.52,21.37,0.2,1007,60,384
1717555740,3.52,21.412,0.6,1006,64,384
1717556340,3.52,21.487,1.3,1060,76,350
1717556940,3.52,21.554,1.8,1008,64,380
1717557540,3.52,21.688,2.6,1100,104,248
